feature,importance,rank
severity_score_proxy,0.12993329840326118,1
complaint_respiratory_flag,0.0622141061213625,2
heartrate_max,0.05811092989422735,3
symptom_burden_count,0.054127285080939704,4
heartrate_mean,0.053347207977450656,5
respiratory_pattern_score,0.052338361372158054,6
acuity,0.05224233098976636,7
heartrate,0.038537252257745146,8
pain_max,0.03815042812728188,9
temperature,0.02968884572598807,10
pain,0.0294090814619864,11
dbp_mean,0.029138228067502554,12
resprate,0.028180386261410013,13
resprate_mean,0.025713093090970546,14
tachycardia_flag,0.025464519987051945,15
sbp,0.025202009419765237,16
vitals_count,0.02428857980730542,17
dbp,0.023584265210813492,18
medication_count,0.021913615957149232,19
o2sat_mean,0.020967763697126145,20
temperature_mean,0.019500897265087566,21
visit_duration_hours,0.01926940575605967,22
o2sat_min,0.018923197802254883,23
diagnosis_infectious_flag,0.0181239553593553,24
sbp_mean,0.016113725121155272,25
tachypnea_flag,0.014750612434877228,26
temperature_max,0.013559524002945574,27
resprate_max,0.013154822652917354,28
o2sat,0.012246735092918909,29
diagnosis_count,0.007816062223077682,30
medication_antibiotic_flag,0.006928774306464871,31
diagnosis_viral_like_flag,0.004962055621382403,32
diagnosis_respiratory_flag,0.0036062095642469334,33
short_visit_flag,0.002651253827081711,34
low_spo2_flag,0.0025231614074540405,35
fever_flag,0.0015764480907873833,36
high_fever_flag,0.001026882158691343,37
diagnosis_severe_flag,0.00057847115933523,38
complaint_fever_flag,0.00011466357778239064,39
complaint_cough_flag,2.1553664862130545e-05,40
complaint_sore_throat_flag,0.0,41
